Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Annesha Travels,NON A/C Seater / Sleeper (2+2),18:00,13h 00m,07:00,2.7,INR 500,18 Seats available
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Shantanu Travels,NON A/C Seater / Sleeper (2+2),17:00,14h 30m,07:30,3.1,INR 600,11 Seats available
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Maa Durga Bus Service,NON A/C Seater / Sleeper (2+2),18:00,14h 00m,08:00,2.9,INR 600,6 Seats available
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Aradhana Bus Service,NON A/C Seater / Sleeper (2+2),14:30,16h 00m,06:30,2.6,INR 700,28 Seats available
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Lokenath (Maa Tara),NON A/C Seater / Sleeper (2+2),15:15,14h 30m,05:45,2.9,INR 600,8 Seats available
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Renuka Travels,A/C Seater / Sleeper (2+2),19:30,13h 00m,08:30,1.0,INR 1600,65 Seats available
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Gopal Travels,A/C Seater / Sleeper (2+2),20:00,12h 10m,08:10,1.8,INR 1100,65 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,NBSTC-KOL-COB-E2-3:00 pm - 171781,Non AC Seater (2+3),15:00,10h 30m,01:30,3.4,INR 315,42 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,NBSTC-KOL-APD-E1-04:00 PM - 177587,Non AC Seater (2+3),16:00,09h 30m,01:30,4.0,INR 315,42 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,NBSTC-KOL-COB-R1-17:00 - 156429,Non AC Seater 2+2,17:00,07h 30m,00:30,2.5,INR 341,1 Seat available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,NBSTC-KOL-RAI-R1-20:30 - 156416,NON A/C Seater Push Back (2+2),20:45,10h 00m,06:45,4.3,INR 341,8 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Lokenath Bus Service,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),22:00,09h 15m,07:15,4.5,INR 949,44 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Express Line,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,10h 50m,05:20,4.8,INR 1549,14 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C seater/sleeper (2+1),21:00,09h 00m,06:00,4.4,INR 1400,47 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Lokenath Bus Service,Volvo Multi-Axle A/C Seater/Sleeper (2+1),18:15,09h 15m,03:30,4.3,INR 1199,19 Seats available
